,category,date,section,tags,title,topics,url
1225,Apps,2016-08-19,mobile/,teens,Facebook’s new teens-only app Lifestage turns bios into video profiles,"snapchat,facebook",https://techcrunch.com/2016/08/19/facebook-lifestage/
1226,Mobile,2016-08-19,mobile/,"ios-10,ios",Apple just dropped iOS 10 beta 7 for developers and public testers,apple,https://techcrunch.com/2016/08/19/apple-just-dropped-ios-10-beta-7-for-developers-and-public-testers/
1231,Mobile,2016-08-18,mobile/,street-view,Google Maps updates Street View rendering and controls,"google-maps,google",https://techcrunch.com/2016/08/18/better-view/
1266,Apps,2016-06-07,enterprise/,"index-ventures,bold,david-byttow","Secret’s founder returns with Bold, a Medium for enterprise",secret,https://techcrunch.com/2016/06/07/bold/
1273,Apps,2016-07-12,social/,"spaces,chat-apps,kifi",Google aqui-hires deep search engine Kifi to enhance its Spaces group chat app,google,https://techcrunch.com/2016/07/12/google-acquires-deep-search-engine-kifi-to-enhance-its-spaces-group-chat-app/
1282,Apps,2016-07-07,social/,"apps,dating",Bumble is going to help you find your next job with BumbleBizz,bumble,https://techcrunch.com/2016/07/07/bumble-is-going-to-help-you-find-your-next-job-with-bumblebizz/
1283,Apps,2016-07-06,social/,comments,Instagram nixes naughty comments,instagram,https://techcrunch.com/2016/07/06/instagram-comment-moderation/
1284,Apps,2016-07-06,social/,"developing-world,facebook-video",Facebook will test video downloads for offline viewing,facebook,https://techcrunch.com/2016/07/06/faceoffline/
1330,Apps,2016-09-08,startups/,"fintech,digit,sms","Digit, a simple app to help you save, launches Android app",android,https://techcrunch.com/2016/09/08/digit-a-simple-app-to-help-you-save-launches-android-app/
1338,Apps,2016-08-18,mobile/,"valve,steam,unity",Facebook is building its own Steam-style desktop gaming platform with Unity,facebook,https://techcrunch.com/2016/08/18/facebook-desktop-game-platform/
1341,Apps,2016-08-17,mobile/,"social-media,events,instagram-video",Instagram adds an Events channel to show you the best videos from concerts and sporting events,instagram,https://techcrunch.com/2016/08/17/instagram-events-channels/
1342,Apps,2016-08-17,mobile/,"android-apps,apps","Airbnb Trips, a test version of company’s travel services app, pulled from Google Play",airbnb,https://techcrunch.com/2016/08/17/airbnb-trips-a-test-version-of-companys-travel-services-app-pulled-from-google-play/
1343,Mobile,2016-08-17,mobile/,"iphone,iphone-7","Dual-lens in, Pro out in latest iPhone 7 rumor",apple,https://techcrunch.com/2016/08/17/iphone-7-rumor-dual-lens-pro-apple/
1351,Apps,2016-08-15,mobile/,google-duo,"Google launches Duo video-calling app, a dull cross-OS FaceTime rival",google,https://techcrunch.com/2016/08/15/google-duo/
1394,Mobile,2016-06-30,social/,"satellites,satellite-imagery",Google Maps gets multi-stop directions and vacation memories on mobile,"google-maps,google",https://techcrunch.com/2016/06/30/google-maps-gets-multi-stop-directions-and-vacation-memories-on-mobile/
1397,Mobile,2016-06-28,social/,twitter-dashboard,Twitter targets smaller businesses with launch of Dashboard,twitter,https://techcrunch.com/2016/06/28/twitter-targets-smaller-businesses-with-launch-of-dashboard/
1399,Apps,2016-06-28,social/,chrome,Facebook from other sites with new Save and Share Chrome extensions,facebook,https://techcrunch.com/2016/06/28/facebook-chrome-extensions/
1405,Apps,2016-06-27,social/,facebook-events,Facebook launches human-curated Featured Events list,facebook,https://techcrunch.com/2016/06/27/facebook-launches-human-curated-featured-events-list/
1415,Apps,2016-07-06,europe/,"art,bootstrapping,wydr",Wydr is Tinder for buying art,tinder,https://techcrunch.com/2016/07/06/wydr-is-tinder-for-buying-art/
1416,Apps,2016-07-06,europe/,"machine-learning,image-recognition,moodstocks",Google buys French image recognition startup Moodstocks,google,https://techcrunch.com/2016/07/06/google-buys-france-based-moodstocks-which-makes-image-recognition-tech-for-smartphones/
1441,Mobile,2016-09-06,startups/,founders-fund,Postmates is raising at least $100 million to fuel its on-demand ambitions,postmates,https://techcrunch.com/2016/09/06/postmates-is-raising-at-least-100-million-to-fuel-its-on-demand-ambitions/
1459,Apps,2016-08-11,mobile/,facebook-news-feed,Facebook feed change that predicts what’s informative could reprioritize news,facebook,https://techcrunch.com/2016/08/11/facebook-news-feed-algorithm/
1501,Apps,2016-05-09,enterprise/,"dennis-crowley,disrupt-ny-2016,disrupt",How Foursquare hopes to hit profitability,foursquare,https://techcrunch.com/2016/05/09/how-foursquare-hopes-to-hit-profitability/
1509,Apps,2016-06-23,social/,"david-marcus,messaging,facebook-messenger","At Disrupt SF, Facebook’s Chief Messenger David Marcus will chat about chat",facebook,https://techcrunch.com/2016/06/23/david-marcus/
1514,Apps,2016-06-21,social/,"engage,analytics,microblogging",Twitter launches a standalone analytics and engagement app for power users,twitter,https://techcrunch.com/2016/06/21/twitter-launches-a-standalone-analytics-and-engagement-app-for-power-users/
1559,Apps,2016-08-30,startups/,"drew-houston,hacks",Dropbox employee’s password reuse led to theft of 60M+ user credentials,dropbox-inc,https://techcrunch.com/2016/08/30/dropbox-employees-password-reuse-led-to-theft-of-60m-user-credentials/
1560,Mobile,2016-08-10,mobile/,"iphone-se,iphone",The iPhone SE is selling just as Apple planned in the U.S. and Europe,apple,https://techcrunch.com/2016/08/10/the-iphone-se-is-selling-just-as-apple-planned-in-the-u-s-and-europe/
1563,Apps,2016-08-09,mobile/,google-now,"Google tests a more personalized version of its virtual assistant, Google Now",google,https://techcrunch.com/2016/08/09/google-tests-a-more-personalized-version-of-its-virtual-assistant-google-now/
